SYM,DATE,CLOSE,OPEN,MKT,SO,PF,B,RPP,PER,EPS,Y,D,FS,AV,SEC,INDUS,SENT
SWKS,2017-07-03 00:02:36.210366,95.95,96.64,17.71,184.53,183.91,1.67,459.33,19.74,4.86,1.17,0.28,3.11,1.88,9.0,86.0,0.5104363636363636
SLM,2017-07-03 00:02:37.080483,11.5,11.49,4.96,431.04,427.16,1.01,937.72,19.49,0.59,1.86,0.05,3.5,3.78,10.0,49.0,0.3056333333333333
SONC,2017-07-03 00:02:37.982174,26.49,26.91,1.12,42.43,40.51,1.07,53.62,17.66,1.5,2.11,0.14,22.22,1.06,3.0,66.0,0.06810000000000001
SPAR,2017-07-03 00:02:39.133496,8.85,8.75,310.88,35.13,30.38,1.19,266.72,42.14,0.21,1.13,0.05,1.58,173.67,8.0,76.0,0.03913333333333333
SPTN,2017-07-03 00:02:40.081702,25.96,26.17,982.46,37.85,36.85,1.06,534.58,15.73,1.65,2.54,0.17,2.36,218.99,4.0,84.0,-0.008533333333333334
SPOK,2017-07-03 00:02:40.733666,17.6386,17.8,363.49,20.54,19.86,0.84,299.18,31.61,0.56,2.82,0.13,2.85,128.5,0.0,92.0,0.34
SSNC,2017-07-03 00:02:41.501233,38.41,38.12,7.83,203.91,171.38,1.19,195.6,45.73,0.84,0.65,0.06,6.26,1.27,9.0,4.0,0.20249333333333333
SBUX,2017-07-03 00:02:42.073122,58.45,58.68,84.44,1.45,1.41,0.96,86.51,29.01,2.01,1.71,0.25,1.77,8.16,3.0,66.0,0.17057692307692307
CG,2017-07-03 00:02:42.699066,19.75,19.9,6.46,85.82,84.39,1.23,1.7,25.0,0.79,2.03,0.1,1.4,723.57,10.0,61.0,0.16848000000000002
CAKE,2017-07-03 00:02:43.363039,50.3,50.72,2.41,47.96,44.66,0.76,58.9,17.65,2.85,1.91,0.24,18.65,1.02,3.0,66.0,0.28061333333333327
TCFC,2017-07-03 00:02:44.249690,38.5,38.52,178.72,4.64,3.92,0.13,327.35,22.0,1.75,1.04,0.1,0.16,14.44,10.0,13.0,0.0817
ENSG,2017-07-03 00:02:44.938162,21.77,22.03,1.1,50.7,47.63,0.94,87.95,26.23,0.83,0.78,0.04,5.76,270.17,2.0,59.0,0.059199999999999996
FINL,2017-07-03 00:02:46.519351,14.17,14.53,568.88,40.35,39.34,0.89,147.12,44.93,0.32,3.11,0.11,23.36,1.65,3.0,38.0,0.2273066666666667
